
> ta-transportes-kpis@2.0.0 dev
> vite --host 127.0.0.1


  VITE v6.4.3  ready in 805 ms

  ➜  Local:   http://127.0.0.1:5173/
  ➜  press h + enter to show help
19:16:34 [vite] (client) hmr update /src/components/DataPanel/DataPanel.tsx
19:16:34 [vite] (client) hmr update /src/components/InternalPanel/InternalPanel.tsx
19:16:34 [vite] (client) hmr update /src/components/OutSlaPanel/OutSlaPanel.tsx
19:16:34 [vite] (client) hmr update /src/components/PcdPanel/PcdPanel.tsx
19:16:34 [vite] (client) hmr update /src/components/PdfPill/PdfPill.tsx
19:16:34 [vite] (client) hmr update /src/components/SkeletonPanel/SkeletonPanel.tsx
19:16:34 [vite] (client) hmr update /src/components/StatusBar/StatusBar.tsx
19:16:34 [vite] (client) hmr update /src/components/TabBar/TabBar.tsx
19:16:34 [vite] (client) hmr update /src/components/Toast/Toast.tsx
19:16:34 [vite] (client) hmr update /src/components/TonhPanel/TonhPanel.tsx
19:16:58 [vite] (client) hmr update /src/components/TabBar/TabBar.tsx
19:17:10 [vite] (client) hmr update /src/components/TabBar/TabBar.tsx
19:18:21 [vite] (client) hmr update /src/components/TabBar/TabBar.tsx
